capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 01:24:41,-1.0,0.1,1.6,17.48
2018-09-14 01:39:41,-1.0,0.1,2.23,17.53
2018-09-14 01:54:41,-1.0,0.1,1.8,17.43
2018-09-14 02:09:41,-1.0,0.1,1.7,17.12
2018-09-14 02:24:41,-1.0,0.1,2.01,17.02
2018-09-14 02:39:41,-1.0,0.1,1.91,16.5
2018-09-14 02:54:41,-1.0,0.1,2.01,16.55
2018-09-14 03:09:41,-1.0,0.1,2.01,16.6
2018-09-14 03:24:41,-1.0,0.1,2.23,16.81
2018-09-14 03:39:41,-1.0,0.1,1.8,16.81
2018-09-14 03:54:41,-1.0,0.1,2.01,16.91
2018-09-14 04:09:41,-1.0,0.1,1.91,17.02
2018-09-14 04:24:41,-1.0,0.1,1.91,16.97
2018-09-14 04:39:41,-1.0,0.1,1.91,16.86
2018-09-14 04:54:41,-1.0,0.1,1.6,16.81
2018-09-14 05:09:41,-1.0,0.1,2.01,16.81
2018-09-14 05:24:41,-1.0,0.1,2.01,16.86
2018-09-14 05:39:41,-1.0,0.1,2.12,16.6
2018-09-14 05:54:41,-1.0,0.1,2.01,16.55
2018-09-14 06:09:41,-1.0,0.23,1.8,16.08
2018-09-14 06:24:41,-1.0,1.27,1.8,16.45
2018-09-14 06:39:41,-1.0,3.03,1.8,16.91
2018-09-14 06:54:41,-1.0,4.93,2.12,17.27
2018-09-14 07:09:41,-1.0,6.73,2.01,17.88
2018-09-14 07:24:41,-1.0,7.94,1.91,18.54
2018-09-14 07:39:41,-1.0,10.68,1.8,19.48
2018-09-14 07:54:41,-1.0,13.17,1.91,21.12
2018-09-14 08:09:41,-1.0,16.13,1.91,22.91
2018-09-14 08:24:41,-1.0,14.13,1.8,23.1
2018-09-14 08:39:41,-1.0,18.25,2.12,24.11
2018-09-14 08:54:41,-1.0,20.48,2.12,25.25
2018-09-14 09:09:41,-1.0,24.8,1.8,30.23
2018-09-14 09:24:41,-1.0,77.05,1.91,41.81
2018-09-14 09:39:41,-1.0,86.8,1.49,45.33
2018-09-14 09:54:41,-1.0,96.04,1.7,47.02
2018-09-14 10:09:41,-1.0,103.63,1.49,47.58
2018-09-14 10:24:41,-1.0,108.38,1.7,49.7
2018-09-14 10:39:41,-1.0,113.56,1.7,50.0
2018-09-14 10:54:41,-1.0,119.25,1.49,51.02
2018-09-14 11:09:41,-1.0,122.94,1.7,51.14
2018-09-14 11:24:41,-1.0,125.52,1.8,50.24
2018-09-14 11:39:41,-1.0,110.39,1.29,48.26
2018-09-14 11:54:41,-1.0,32.22,1.6,43.9
2018-09-14 12:09:41,-1.0,47.79,1.49,43.39
2018-09-14 12:24:41,-1.0,105.48,1.39,44.27
2018-09-14 12:39:41,-1.0,138.58,1.7,46.25
2018-09-14 12:54:41,-1.0,169.71,1.6,40.14
2018-09-14 13:09:41,-1.0,143.54,1.49,44.85
2018-09-14 13:24:41,-1.0,84.91,1.6,50.0
2018-09-14 13:39:41,-1.0,68.01,1.8,40.82
2018-09-14 13:54:41,-1.0,38.87,1.49,34.32
2018-09-14 14:09:41,-1.0,48.0,1.7,34.01
2018-09-14 14:24:41,-1.0,43.72,1.7,33.29
2018-09-14 14:39:41,-1.0,118.07,1.6,49.06
2018-09-14 14:54:41,-1.0,106.43,1.49,47.8
2018-09-14 15:09:41,-1.0,96.04,1.39,47.41
2018-09-14 15:24:41,-1.0,89.46,1.7,46.25
2018-09-14 15:39:41,-1.0,79.69,1.8,45.38
2018-09-14 15:54:41,-1.0,73.17,1.8,44.53
2018-09-14 16:09:41,-1.0,67.21,1.7,42.62
2018-09-14 16:24:41,-1.0,59.55,1.8,42.26
2018-09-14 16:39:41,-1.0,51.49,1.49,40.28
2018-09-14 16:54:41,-1.0,43.72,1.8,38.51
2018-09-14 17:09:41,-1.0,35.99,2.01,35.59
2018-09-14 17:24:41,-1.0,27.97,1.8,33.38
2018-09-14 17:39:41,-1.0,20.25,2.01,30.76
2018-09-14 17:54:41,-1.0,8.64,1.8,27.22
2018-09-14 18:09:41,-1.0,5.49,1.7,24.79
2018-09-14 18:24:41,-1.0,2.78,1.91,23.0
2018-09-14 18:39:41,-1.0,0.83,1.7,21.64
2018-09-14 18:54:41,-1.0,0.1,1.8,20.64
2018-09-14 19:09:41,-1.0,0.1,1.8,20.11
2018-09-14 19:24:41,-1.0,0.1,1.91,19.82
2018-09-14 19:39:41,-1.0,0.1,1.91,19.57
2018-09-14 19:54:41,-1.0,0.1,1.7,19.23
2018-09-14 20:09:41,-1.0,0.1,2.23,19.33
2018-09-14 20:24:41,-1.0,0.1,1.6,19.77
2018-09-14 20:39:41,-1.0,0.1,2.12,19.67
2018-09-14 20:54:41,-1.0,0.1,1.7,18.78
2018-09-14 21:09:41,-1.0,0.1,2.01,18.59
2018-09-14 21:24:41,-1.0,0.1,2.12,19.62
2018-09-14 21:39:41,-1.0,0.1,1.91,20.45
2018-09-14 21:54:41,-1.0,0.1,2.12,21.03
2018-09-14 22:09:41,-1.0,0.1,1.91,20.55
2018-09-14 22:24:41,-1.0,0.1,1.7,18.64
2018-09-14 22:39:41,-1.0,0.1,1.8,18.29
2018-09-14 22:54:41,-1.0,0.1,2.12,18.08
2018-09-14 23:09:41,-1.0,0.1,1.7,18.29
2018-09-14 23:24:41,-1.0,0.1,1.6,18.39
2018-09-14 23:39:41,-1.0,0.1,1.7,18.08
2018-09-14 23:54:41,-1.0,0.1,1.7,17.98
2018-09-15 00:09:41,-1.0,0.1,1.8,17.53
2018-09-15 00:24:41,-1.0,0.1,1.91,17.68
2018-09-15 00:39:41,-1.0,0.1,2.12,17.98
2018-09-15 00:54:41,-1.0,0.1,2.01,18.29
2018-09-15 01:09:41,-1.0,0.1,1.8,18.24
2018-09-15 01:24:41,-1.0,0.1,1.91,18.44
2018-09-15 01:39:41,-1.0,0.1,1.6,18.78
2018-09-15 01:54:41,-1.0,0.1,2.01,19.18
2018-09-15 02:09:41,-1.0,0.1,1.8,19.48
2018-09-15 02:24:41,-1.0,0.1,1.91,19.87
2018-09-15 02:39:41,-1.0,0.1,1.8,19.96
2018-09-15 02:54:41,-1.0,0.1,1.8,19.96
2018-09-15 03:09:41,-1.0,0.1,1.8,20.83
2018-09-15 03:24:41,-1.0,0.1,2.01,21.03
2018-09-15 03:39:41,-1.0,0.1,1.8,20.11
2018-09-15 03:54:41,-1.0,0.1,1.91,19.72
2018-09-15 04:09:41,-1.0,0.1,1.91,20.11
2018-09-15 04:24:41,-1.0,0.1,2.23,20.35
2018-09-15 04:39:41,-1.0,0.1,2.01,20.45
2018-09-15 04:54:41,-1.0,0.1,1.91,20.06
2018-09-15 05:09:41,-1.0,0.1,1.6,20.01
2018-09-15 05:24:41,-1.0,0.1,1.7,20.11
2018-09-15 05:39:41,-1.0,0.1,1.8,20.11
2018-09-15 05:54:41,-1.0,0.1,1.91,20.26
2018-09-15 06:09:41,-1.0,0.1,2.01,20.5
2018-09-15 06:24:41,-1.0,0.45,2.12,20.64
2018-09-15 06:39:41,-1.0,1.39,2.01,20.74
2018-09-15 06:54:41,-1.0,2.49,1.91,21.41
2018-09-15 07:09:41,-1.0,3.13,1.91,21.74
2018-09-15 07:24:41,-1.0,9.75,1.6,23.33
2018-09-15 07:39:41,-1.0,9.36,1.91,24.38
2018-09-15 07:54:41,-1.0,11.01,1.6,24.29
2018-09-15 08:09:41,-1.0,13.63,1.8,25.43
2018-09-15 08:24:41,-1.0,16.61,1.91,26.28
2018-09-15 08:39:41,-1.0,22.12,1.7,27.93
2018-09-15 08:54:41,-1.0,20.29,1.8,28.46
2018-09-15 09:09:41,-1.0,29.23,1.6,30.28
2018-09-15 09:24:41,-1.0,31.49,2.01,32.04
2018-09-15 09:39:41,-1.0,31.76,1.6,32.04
2018-09-15 09:54:41,-1.0,35.08,1.8,32.71
2018-09-15 10:09:41,-1.0,61.47,1.91,37.1
2018-09-15 10:24:41,-1.0,54.44,2.01,38.79
2018-09-15 10:39:41,-1.0,57.46,1.7,38.41
2018-09-15 10:54:41,-1.0,66.06,1.7,40.23
2018-09-15 11:09:41,-1.0,140.2,1.39,52.93
2018-09-15 11:24:41,-1.0,111.43,1.6,50.83
2018-09-15 11:39:41,-1.0,110.39,1.29,46.85
2018-09-15 11:54:41,-1.0,30.61,1.8,44.06
2018-09-15 12:09:41,-1.0,37.31,1.6,44.85
2018-09-15 12:24:41,-1.0,83.1,1.6,47.13
2018-09-15 12:39:41,-1.0,129.6,1.8,45.92
2018-09-15 12:54:41,-1.0,116.91,1.6,50.71
2018-09-15 13:09:41,-1.0,140.2,1.39,51.75
2018-09-15 13:24:41,-1.0,74.1,1.6,52.3
2018-09-15 13:39:41,-1.0,137.0,1.39,54.52
2018-09-15 13:54:41,-1.0,129.6,1.49,51.81
2018-09-15 14:09:41,-1.0,124.22,1.6,51.93
2018-09-15 14:24:41,-1.0,118.07,1.8,50.06
2018-09-15 14:39:41,-1.0,114.66,1.6,51.38
2018-09-15 14:54:41,-1.0,108.38,1.7,50.3
2018-09-15 15:09:41,-1.0,100.97,1.7,51.56
2018-09-15 15:24:41,-1.0,91.55,1.6,51.62
2018-09-15 15:39:41,-1.0,85.53,1.6,50.89
2018-09-15 15:54:41,-1.0,75.55,1.7,50.83
2018-09-15 16:09:41,-1.0,70.5,1.6,48.54
2018-09-15 16:24:41,-1.0,64.58,1.7,45.87
2018-09-15 16:39:41,-1.0,57.17,1.49,44.27
2018-09-15 16:54:41,-1.0,48.83,1.91,41.46
2018-09-15 17:09:41,-1.0,40.41,1.7,39.8
2018-09-15 17:24:41,-1.0,31.67,1.91,37.15
2018-09-15 17:39:41,-1.0,22.96,1.8,34.27
2018-09-15 17:54:41,-1.0,7.95,1.7,27.89
2018-09-15 18:09:41,-1.0,5.09,1.91,25.11
2018-09-15 18:24:41,-1.0,2.6,1.91,23.7
2018-09-15 18:39:41,-1.0,0.74,1.91,22.4
2018-09-15 18:54:41,-1.0,0.1,1.8,21.83
2018-09-15 19:09:41,-1.0,0.1,2.12,21.6
2018-09-15 19:24:41,-1.0,0.1,1.8,21.45
2018-09-15 19:39:41,-1.0,0.1,1.7,21.26
2018-09-15 19:54:41,-1.0,0.1,2.12,20.64
2018-09-15 20:09:41,-1.0,0.1,2.01,20.4
2018-09-15 20:24:41,-1.0,0.1,1.91,20.59
2018-09-15 20:39:41,-1.0,0.1,2.12,20.93
2018-09-15 20:54:41,-1.0,0.1,1.91,20.69
2018-09-15 21:09:41,-1.0,0.1,1.8,20.64
2018-09-15 21:24:41,-1.0,0.1,1.91,20.35
2018-09-15 21:39:41,-1.0,0.1,2.01,20.06
2018-09-15 21:54:41,-1.0,0.1,1.6,20.16
2018-09-15 22:09:41,-1.0,0.1,1.91,19.82
2018-09-15 22:24:41,-1.0,0.1,1.7,19.43
2018-09-15 22:39:41,-1.0,0.1,2.12,19.33
2018-09-15 22:54:41,-1.0,0.1,2.12,19.08
2018-09-15 23:09:41,-1.0,0.1,2.01,18.59
2018-09-15 23:24:41,-1.0,0.1,2.12,18.49
2018-09-15 23:39:41,-1.0,0.1,2.23,18.69
2018-09-15 23:54:41,-1.0,0.1,1.91,18.49
2018-09-16 00:09:41,-1.0,0.1,1.8,18.03
2018-09-16 00:24:41,-1.0,0.1,2.01,18.29
2018-09-16 00:39:41,-1.0,0.1,2.01,17.07
2018-09-16 00:54:41,-1.0,0.1,2.01,16.71
2018-09-16 01:09:41,-1.0,0.1,1.7,16.24
2018-09-16 01:24:41,-1.0,0.1,1.91,16.29
2018-09-16 01:39:41,-1.0,0.1,1.8,16.08
2018-09-16 01:54:41,-1.0,0.1,2.01,16.34
2018-09-16 02:09:41,-1.0,0.1,2.01,16.19
2018-09-16 02:24:41,-1.0,0.1,2.23,15.61
2018-09-16 02:39:41,-1.0,0.1,2.01,15.87
2018-09-16 02:54:41,-1.0,0.1,1.91,15.93
2018-09-16 03:09:41,-1.0,0.1,2.12,15.82
2018-09-16 03:24:41,-1.0,0.1,2.01,15.56
2018-09-16 03:39:41,-1.0,0.1,1.8,15.56
2018-09-16 03:54:41,-1.0,0.1,2.01,15.66
2018-09-16 04:09:41,-1.0,0.1,1.6,15.19
2018-09-16 04:24:41,-1.0,0.1,1.91,15.61
2018-09-16 04:39:41,-1.0,0.1,2.01,15.87
2018-09-16 04:54:41,-1.0,0.1,1.7,15.45
2018-09-16 05:09:41,-1.0,0.1,2.01,14.97
2018-09-16 05:24:41,-1.0,0.1,1.8,15.08
2018-09-16 05:39:41,-1.0,0.1,1.7,15.35
2018-09-16 05:54:41,-1.0,0.1,2.23,15.13
2018-09-16 06:09:41,-1.0,0.17,2.23,15.08
2018-09-16 06:24:41,-1.0,1.18,1.7,15.5
2018-09-16 06:39:41,-1.0,2.98,1.8,16.29
2018-09-16 06:54:41,-1.0,5.07,1.8,17.07
2018-09-16 07:09:41,-1.0,7.15,2.01,18.34
2018-09-16 07:24:41,-1.0,8.96,1.8,19.82
2018-09-16 07:39:41,-1.0,10.69,1.91,21.26
2018-09-16 07:54:41,-1.0,15.43,2.12,23.65
2018-09-16 08:09:41,-1.0,15.47,2.01,26.6
2018-09-16 08:24:41,-1.0,41.31,1.6,31.07
2018-09-16 08:39:41,-1.0,42.72,1.49,36.41
2018-09-16 08:54:41,-1.0,59.24,2.01,40.53
2018-09-16 09:09:41,-1.0,68.82,1.8,42.62
2018-09-16 09:24:41,-1.0,78.09,1.39,45.6
2018-09-16 09:39:41,-1.0,86.16,1.49,47.41
2018-09-16 09:54:41,-1.0,96.04,1.7,48.03
2018-09-16 10:09:41,-1.0,102.73,1.7,48.95
2018-09-16 10:24:41,-1.0,108.38,1.6,49.88
2018-09-16 10:39:41,-1.0,114.66,1.49,49.94
2018-09-16 10:54:41,-1.0,119.25,1.6,50.24
2018-09-16 11:09:41,-1.0,122.94,1.6,48.26
2018-09-16 11:24:41,-1.0,126.85,1.7,49.18
2018-09-16 11:39:41,-1.0,101.85,1.8,45.87
2018-09-16 11:54:41,-1.0,25.79,1.6,42.92
2018-09-16 12:09:41,-1.0,27.55,1.39,42.42
2018-09-16 12:24:41,-1.0,79.15,1.6,43.54
2018-09-16 12:39:41,-1.0,135.46,1.91,46.36
2018-09-16 12:54:41,-1.0,135.46,1.39,47.19
2018-09-16 13:09:41,-1.0,135.46,1.39,48.89
2018-09-16 13:24:41,-1.0,132.47,1.29,51.93
2018-09-16 13:39:41,-1.0,129.6,1.7,53.49
2018-09-16 13:54:41,-1.0,128.21,1.39,53.3
2018-09-16 14:09:41,-1.0,125.52,1.7,53.24
2018-09-16 14:24:41,-1.0,119.25,1.39,52.93
2018-09-16 14:39:41,-1.0,113.56,1.6,51.75
2018-09-16 14:54:41,-1.0,107.39,1.6,51.75
2018-09-16 15:09:41,-1.0,98.45,1.6,49.76
2018-09-16 15:24:41,-1.0,91.55,1.7,50.36
2018-09-16 15:39:41,-1.0,83.1,1.6,49.06
2018-09-16 15:54:41,-1.0,75.55,1.49,47.64
2018-09-16 16:09:41,-1.0,67.61,1.8,45.33
2018-09-16 16:24:41,-1.0,63.16,1.8,44.37
2018-09-16 16:39:41,-1.0,61.47,1.39,44.22
2018-09-16 16:54:41,-1.0,58.04,1.8,43.64
2018-09-16 17:09:41,-1.0,45.85,1.91,41.56
2018-09-16 17:24:41,-1.0,36.1,1.7,38.98
2018-09-16 17:39:41,-1.0,27.41,1.8,36.69
2018-09-16 17:54:41,-1.0,10.52,1.8,29.83
2018-09-16 18:09:41,-1.0,7.79,1.49,27.98
2018-09-16 18:24:41,-1.0,4.05,1.7,26.91
2018-09-16 18:39:41,-1.0,1.19,1.49,25.83
2018-09-16 18:54:41,-1.0,0.1,1.8,24.66
2018-09-16 19:09:41,-1.0,0.1,2.01,23.83
2018-09-16 19:24:41,-1.0,0.1,2.01,23.24
2018-09-16 19:39:41,-1.0,0.1,1.91,22.68
2018-09-16 19:54:41,-1.0,0.1,1.91,23.05
2018-09-16 20:09:41,-1.0,0.1,1.7,22.86
2018-09-16 20:24:41,-1.0,0.1,1.91,22.3
2018-09-16 20:39:41,-1.0,0.1,1.7,22.12
2018-09-16 20:54:41,-1.0,0.1,1.7,21.93
2018-09-16 21:09:41,-1.0,0.1,1.91,21.88
2018-09-16 21:24:41,-1.0,0.1,1.91,21.88
2018-09-16 21:39:41,-1.0,0.1,2.12,22.02
2018-09-16 21:54:41,-1.0,0.1,1.8,21.74
2018-09-16 22:09:41,-1.0,0.1,1.7,21.69
2018-09-16 22:24:41,-1.0,0.1,1.8,21.22
2018-09-16 22:39:41,-1.0,0.1,2.01,21.07
2018-09-16 22:54:41,-1.0,0.1,1.6,20.93
2018-09-16 23:09:41,-1.0,0.1,1.91,20.79
2018-09-16 23:24:41,-1.0,0.1,2.12,20.5
2018-09-16 23:39:41,-1.0,0.1,1.8,19.92
2018-09-16 23:54:41,-1.0,0.1,2.01,19.33
2018-09-17 00:09:41,-1.0,0.1,2.12,19.33
2018-09-17 00:24:41,-1.0,0.1,1.8,19.23
2018-09-17 00:39:41,-1.0,0.1,2.01,19.38
2018-09-17 00:54:41,-1.0,0.1,1.8,18.78
2018-09-17 01:09:41,-1.0,0.1,2.12,18.54
2018-09-17 01:24:41,-1.0,0.1,2.12,18.19
2018-09-17 01:39:41,-1.0,0.1,1.6,17.88
2018-09-17 01:54:41,-1.0,0.1,1.6,17.63
2018-09-17 02:09:41,-1.0,0.1,1.7,17.53
2018-09-17 02:24:41,-1.0,0.1,2.23,17.32
2018-09-17 02:39:41,-1.0,0.1,1.91,17.27
2018-09-17 02:54:41,-1.0,0.1,1.91,17.22
2018-09-17 03:09:41,-1.0,0.1,1.8,17.07
2018-09-17 03:24:41,-1.0,0.1,1.91,16.97
2018-09-17 03:39:41,-1.0,0.1,1.91,17.17
2018-09-17 03:54:41,-1.0,0.1,1.91,17.27
2018-09-17 04:09:41,-1.0,0.1,1.7,17.02
2018-09-17 04:24:41,-1.0,0.1,2.01,16.97
2018-09-17 04:39:41,-1.0,0.1,2.23,16.97
2018-09-17 04:54:41,-1.0,0.1,1.6,17.12
2018-09-17 05:09:41,-1.0,0.1,1.91,17.22
2018-09-17 05:24:41,-1.0,0.1,2.01,17.17
2018-09-17 05:39:41,-1.0,0.1,2.12,17.22
2018-09-17 05:54:41,-1.0,0.1,2.23,17.32
2018-09-17 06:09:41,-1.0,0.16,1.91,17.22
2018-09-17 06:24:41,-1.0,1.1,2.12,17.58
2018-09-17 06:39:41,-1.0,2.87,1.91,18.54
2018-09-17 06:54:41,-1.0,4.83,2.01,19.43
2018-09-17 07:09:41,-1.0,6.46,1.91,20.59
2018-09-17 07:24:41,-1.0,7.87,2.01,21.55
2018-09-17 07:39:41,-1.0,10.28,2.12,22.86
2018-09-17 07:54:41,-1.0,13.72,2.01,25.16
2018-09-17 08:09:41,-1.0,16.03,1.91,27.98
2018-09-17 08:24:41,-1.0,47.2,1.91,31.6
2018-09-17 08:39:41,-1.0,48.62,1.6,37.15
2018-09-17 08:54:41,-1.0,54.18,1.8,41.36
2018-09-17 09:09:41,-1.0,70.93,1.49,42.82
2018-09-17 09:24:41,-1.0,79.15,1.6,45.82
2018-09-17 09:39:41,-1.0,88.11,1.6,47.86
2018-09-17 09:54:41,-1.0,96.83,1.6,49.18
2018-09-17 10:09:41,-1.0,104.55,1.6,48.6
2018-09-17 10:24:41,-1.0,111.43,1.7,50.06
2018-09-17 10:39:41,-1.0,115.77,1.6,50.12
2018-09-17 10:54:41,-1.0,121.68,1.7,50.06
2018-09-17 11:09:41,-1.0,124.22,1.39,52.05
2018-09-17 11:24:41,-1.0,126.85,1.39,51.38
2018-09-17 11:39:41,-1.0,93.0,1.6,47.3
2018-09-17 11:54:41,-1.0,24.24,1.49,44.43
2018-09-17 12:09:41,-1.0,24.24,1.6,43.96
2018-09-17 12:24:41,-1.0,62.13,1.6,44.9
2018-09-17 12:39:41,-1.0,133.95,1.6,47.24
2018-09-17 12:54:41,-1.0,135.46,1.49,49.12
2018-09-17 13:09:41,-1.0,133.95,1.6,49.47
2018-09-17 13:24:41,-1.0,132.47,1.6,53.05
2018-09-17 13:39:41,-1.0,129.6,1.49,53.75
2018-09-17 13:54:41,-1.0,128.21,1.49,53.75
2018-09-17 14:09:41,-1.0,124.22,1.7,54.2
2018-09-17 14:24:41,-1.0,120.46,1.6,54.39
2018-09-17 14:39:41,-1.0,113.56,1.39,53.43
2018-09-17 14:54:41,-1.0,101.85,1.8,52.42
2018-09-17 15:09:41,-1.0,80.8,1.49,47.13
2018-09-17 15:24:41,-1.0,88.78,1.7,49.94
2018-09-17 15:39:41,-1.0,84.3,1.8,49.47
2018-09-17 15:54:41,-1.0,77.05,1.39,48.49
2018-09-17 16:09:41,-1.0,64.21,1.7,46.03
2018-09-17 16:24:41,-1.0,53.17,1.39,43.18
2018-09-17 16:39:41,-1.0,41.31,1.49,39.94
2018-09-17 16:54:41,-1.0,36.82,1.91,38.13
2018-09-17 17:09:41,-1.0,35.08,1.6,37.99
2018-09-17 17:24:41,-1.0,29.08,1.8,36.41
2018-09-17 17:39:41,-1.0,19.07,1.7,33.69
2018-09-17 17:54:41,-1.0,8.3,2.01,28.69
2018-09-17 18:09:41,-1.0,4.19,1.6,26.73
2018-09-17 18:24:41,-1.0,2.44,1.8,25.7
2018-09-17 18:39:41,-1.0,0.48,1.91,24.11
2018-09-17 18:54:41,-1.0,0.1,2.01,22.91
2018-09-17 19:09:41,-1.0,0.1,1.8,22.86
2018-09-17 19:24:41,-1.0,0.1,1.49,22.63
2018-09-17 19:39:41,-1.0,0.1,2.12,22.35
2018-09-17 19:54:41,-1.0,0.1,1.91,22.26
2018-09-17 20:09:41,-1.0,0.1,2.01,22.35
2018-09-17 20:24:41,-1.0,0.1,2.12,22.12
2018-09-17 20:39:41,-1.0,0.1,1.7,22.07
2018-09-17 20:54:41,-1.0,0.1,1.91,21.83
2018-09-17 21:09:41,-1.0,0.1,1.6,21.41
2018-09-17 21:24:41,-1.0,0.1,1.6,20.69
2018-09-17 21:39:41,-1.0,0.1,1.6,19.87
2018-09-17 21:54:41,-1.0,0.1,2.12,19.33
2018-09-17 22:09:41,-1.0,0.1,2.12,19.92
2018-09-17 22:24:41,-1.0,0.1,1.91,19.53
2018-09-17 22:39:41,-1.0,0.1,2.12,18.69
2018-09-17 22:54:41,-1.0,0.1,1.91,19.03
2018-09-17 23:09:41,-1.0,0.1,2.01,19.13
2018-09-17 23:24:41,-1.0,0.1,1.8,18.39
2018-09-17 23:39:41,-1.0,0.1,2.12,18.78
2018-09-17 23:54:41,-1.0,0.1,1.7,18.34
2018-09-18 00:09:41,-1.0,0.1,1.91,17.83
2018-09-18 00:24:41,-1.0,0.1,1.7,18.49
2018-09-18 00:39:41,-1.0,0.1,1.91,18.39
2018-09-18 00:54:41,-1.0,0.1,1.6,17.93
2018-09-18 01:09:41,-1.0,0.1,2.01,17.48
2018-09-18 01:24:41,-1.0,0.1,1.91,17.63
2018-09-18 01:39:41,-1.0,0.1,1.8,17.07
2018-09-18 01:54:41,-1.0,0.1,2.01,17.02
2018-09-18 02:09:41,-1.0,0.1,2.12,16.86
2018-09-18 02:24:41,-1.0,0.1,1.6,16.4
2018-09-18 02:39:41,-1.0,0.1,1.8,16.08
2018-09-18 02:54:41,-1.0,0.1,1.91,16.08
2018-09-18 03:09:41,-1.0,0.1,1.91,16.08
2018-09-18 03:24:41,-1.0,0.1,1.8,16.5
2018-09-18 03:39:41,-1.0,0.1,1.91,16.03
2018-09-18 03:54:41,-1.0,0.1,1.8,15.98
2018-09-18 04:09:41,-1.0,0.1,2.01,15.93
2018-09-18 04:24:41,-1.0,0.1,2.01,16.08
2018-09-18 04:39:41,-1.0,0.1,1.8,15.56
2018-09-18 04:54:41,-1.0,0.1,1.8,14.97
2018-09-18 05:09:41,-1.0,0.1,1.8,14.87
2018-09-18 05:24:41,-1.0,0.1,1.8,15.08
2018-09-18 05:39:41,-1.0,0.1,2.01,14.97
2018-09-18 05:54:41,-1.0,0.1,2.12,15.03
2018-09-18 06:09:41,-1.0,0.13,1.91,14.92
2018-09-18 06:24:41,-1.0,1.04,2.01,15.03
2018-09-18 06:39:41,-1.0,2.78,1.91,15.66
2018-09-18 06:54:41,-1.0,4.58,2.12,16.91
2018-09-18 07:09:41,-1.0,6.33,1.7,18.19
2018-09-18 07:24:41,-1.0,7.58,1.8,19.18
2018-09-18 07:39:41,-1.0,9.56,1.7,20.74
2018-09-18 07:54:41,-1.0,14.68,1.7,23.0
2018-09-18 08:09:41,-1.0,14.05,2.12,25.61
2018-09-18 08:24:41,-1.0,37.56,1.91,30.94
2018-09-18 08:39:41,-1.0,49.04,1.7,36.27
2018-09-18 08:54:41,-1.0,62.13,1.91,41.12
2018-09-18 09:09:41,-1.0,71.81,1.8,43.96
2018-09-18 09:24:41,-1.0,79.15,1.7,46.85
2018-09-18 09:39:41,-1.0,87.45,1.8,49.3
2018-09-18 09:54:41,-1.0,96.83,1.29,50.0
2018-09-18 10:09:41,-1.0,105.48,1.49,50.3
2018-09-18 10:24:41,-1.0,111.43,1.7,50.77
2018-09-18 10:39:41,-1.0,115.77,1.49,51.2
2018-09-18 10:54:41,-1.0,120.46,1.6,51.32
2018-09-18 11:09:41,-1.0,124.22,1.39,51.2
2018-09-18 11:24:41,-1.0,128.21,1.6,50.71
2018-09-18 11:39:41,-1.0,76.55,1.6,47.75
2018-09-18 11:54:41,-1.0,20.72,1.7,44.43
2018-09-18 12:09:41,-1.0,20.4,1.29,43.23
2018-09-18 12:24:41,-1.0,39.56,1.6,43.9
2018-09-18 12:39:41,-1.0,58.94,1.7,45.33
2018-09-18 12:54:41,-1.0,125.52,1.7,46.58
2018-09-18 13:09:41,-1.0,135.46,1.39,49.59
2018-09-18 13:24:41,-1.0,133.95,1.39,51.81
2018-09-18 13:39:41,-1.0,132.47,1.39,54.72
2018-09-18 13:54:41,-1.0,131.02,1.39,55.0
2018-09-18 14:09:41,-1.0,125.52,1.7,55.0
2018-09-18 14:24:41,-1.0,114.66,1.39,55.0
2018-09-18 14:39:41,-1.0,112.49,1.6,55.0
2018-09-18 14:54:41,-1.0,103.63,1.6,54.92
2018-09-18 15:09:41,-1.0,97.63,1.49,52.67
2018-09-18 15:24:41,-1.0,90.14,1.6,53.18
2018-09-18 15:39:41,-1.0,79.15,1.39,49.3
2018-09-18 15:54:41,-1.0,76.55,1.29,48.89
2018-09-18 16:09:41,-1.0,70.93,1.7,47.24
2018-09-18 16:24:41,-1.0,64.94,1.39,45.87
2018-09-18 16:39:41,-1.0,54.97,1.49,43.23
2018-09-18 16:54:41,-1.0,47.0,1.7,41.12
2018-09-18 17:09:41,-1.0,39.14,1.39,38.79
2018-09-18 17:24:41,-1.0,32.04,1.39,36.41
2018-09-18 17:39:41,-1.0,11.77,1.8,32.44
2018-09-18 17:54:41,-1.0,6.65,1.8,27.62
2018-09-18 18:09:41,-1.0,3.87,1.8,26.15
2018-09-18 18:24:41,-1.0,1.48,1.7,24.75
2018-09-18 18:39:41,-1.0,0.32,1.7,23.79
2018-09-18 18:54:41,-1.0,0.1,2.01,23.14
2018-09-18 19:09:41,-1.0,0.1,2.01,22.68
2018-09-18 19:24:41,-1.0,0.1,2.12,22.49
2018-09-18 19:39:41,-1.0,0.1,1.6,22.49
2018-09-18 19:54:41,-1.0,0.1,1.91,22.02
2018-09-18 20:09:41,-1.0,0.1,2.12,21.5
2018-09-18 20:24:41,-1.0,0.1,1.91,20.83
2018-09-18 20:39:41,-1.0,0.1,2.01,20.93
2018-09-18 20:54:41,-1.0,0.1,2.01,20.74
2018-09-18 21:09:41,-1.0,0.1,2.01,20.45
2018-09-18 21:24:41,-1.0,0.1,1.7,20.35
